quinto,クイント,KU I N TO
﻿stage,ステージ,SU TE - ZI
﻿status,ステータス,SU TE - TA SU
﻿status symbol,ステータスシンボル,SU TE - TA SU SI N BO RU
﻿stateswoman,ステーツウーマン,SU TE - TU U - MA N
﻿statesman,ステーツマン,SU TE - TU MA N
﻿state,ステート,SU TE - TO
﻿stateless,ステートレス,SU TE - TO RE SU
﻿stapler,ステープラー,SU TE - PU RA -
﻿stick,スティック,SU TE i tsu KU
﻿sticker,ステッカー,SU TE tsu KA -
﻿stick,ステッキ,SU TE tsu KI
﻿stitch,ステッチ,SU TE tsu TI
﻿stepping,ステッピング,SU TE tsu PI N GU
﻿step,ステップ,SU TE tsu PU
﻿steps,ステップス,SU TE tsu PU SU
﻿stepfamily,ステップファミリー,SU TE tsu PU HU a MI RI -
﻿steady,ステディ,SU TE DE i
﻿stealth,ステルス,SU TE RU SU
﻿steroid,ステロイド,SU TE RO I DO
﻿stained glass,ステンドグラス,SU TE N DO GU RA SU
﻿stove league,ストーブリーグ,SU TO - BU RI - GU
﻿storm,ストーム,SU TO - MU
﻿story,ストーリー,SU TO - RI -
﻿storyboard,ストーリボード,SU TO - RI BO - DO
﻿stone wash,ストーンウォッシュ,SU TO - N U o tsu SI yu
﻿stone crab,ストーングラブ,SU TO - N GU RA BU
﻿stone circle,ストーンサークル,SU TO - N SA - KU RU
﻿stove,ストーヴ,SU TO - VU
﻿store,ストア,SU TO A
﻿Stoic,ストイック,SU TO I tsu KU
﻿stocker,ストッカー,SU TO tsu KA -
﻿stockings,ストッキング,SU TO tsu KI N GU
﻿stock,ストック,SU TO tsu KU
﻿stock car,ストックカー,SU TO tsu KU KA -
﻿stock car race,ストックカーレース,SU TO tsu KU KA - RE - SU
﻿stock control,ストックコントロール,SU TO tsu KU KO N TO RO - RU
﻿Stockholm,ストックホルム,SU TO tsu KU HO RU MU
﻿stopper,ストッパー,SU TO tsu PA -
﻿stop,ストップ,SU TO tsu PU
﻿stopwatch,ストップウォッチ,SU TO tsu PU U o tsu TI
﻿stop bit,ストップビット,SU TO tsu PU BI tsu TO
﻿stop motion,ストップモーション,SU TO tsu PU MO - SI yo N
﻿stoplight,ストップライト,SU TO tsu PU RA I TO
﻿stomach,ストマック,SU TO MA tsu KU
﻿striker,ストライカー,SU TO RA I KA -
﻿strike,ストライキ,SU TO RA I KI
﻿strike,ストライク,SU TO RA I KU
﻿stride,ストライド,SU TO RA I DO
﻿stripe,ストライプ,SU TO RA I PU
﻿structure,ストラクチャ,SU TO RA KU TI ya
﻿streaker,ストリーカー,SU TO RI - KA -
﻿streaking,ストリーキング,SU TO RI - KI N GU
﻿street,ストリート,SU TO RI - TO
﻿streetwalker,ストリートウォーカー,SU TO RI - TO U o - KA -
﻿streetcar,ストリートカー,SU TO RI - TO KA -
﻿street furniture,ストリートファーニチャー,SU TO RI - TO HU a - NI TI ya -
﻿streamer,ストリーマ,SU TO RI - MA
﻿stream,ストリーム,SU TO RI - MU
﻿stripper,ストリッパー,SU TO RI tsu PA -
﻿strip,ストリップ,SU TO RI tsu PU
﻿strip show,ストリップショー,SU TO RI tsu PU SI yo -
﻿string,ストリング,SU TO RI N GU
﻿strings,ストリングス,SU TO RI N GU SU
﻿straight,ストレート,SU TO RE - TO
﻿straight course,ストレートコース,SU TO RE - TO KO - SU
﻿straight punch,ストレートパンチ,SU TO RE - TO PA N TI
﻿stress,ストレス,SU TO RE SU
﻿stretch,ストレッチ,SU TO RE tsu TI
﻿stretching,ストレッチング,SU TO RE tsu TI N GU
﻿streptomycin,ストレプトマイシン,SU TO RE PU TO MA I SI N
﻿stranger,ストレンジャー,SU TO RE N ZI ya -
﻿straw,ストロー,SU TO RO -
﻿stroke,ストローク,SU TO RO - KU
﻿straw hat,ストローハット,SU TO RO - HA tsu TO
﻿strobe,ストローブ,SU TO RO - BU
﻿snack,スナック,SU NA tsu KU
﻿snack bar,スナックバー,SU NA tsu KU BA -
﻿snatch,スナッチ,SU NA tsu TI
﻿snap,スナップ,SU NA tsu PU
﻿snapshot,スナップショット,SU NA tsu PU SI yo tsu TO
﻿sneaker,スニーカー,SU NI - KA -
﻿sneak preview,スニークプレビュー,SU NI - KU PU RE BI yu -
﻿snooker,スヌーカー,SU NU - KA -
﻿snoopy,スヌーピー,SU NU - PI -
﻿snake,スネーク,SU NE - KU
﻿sneak out,スネークアウト,SU NE - KU A U TO
﻿sneak in,スネークイン,SU NE - KU I N
﻿snake dance,スネークダンス,SU NE - KU DA N SU
﻿snow,スノー,SU NO -
﻿snow gun,スノーガン,SU NO - GA N
﻿snow boat,スノーボート,SU NO - BO - TO
﻿snow mobile,スノーモービル,SU NO - MO - BI RU
﻿snob,スノッブ,SU NO tsu BU
﻿spark,スパーク,SU PA - KU
﻿spurt,スパート,SU PA - TO
﻿sparring,スパーリング,SU PA - RI N GU
﻿sparring partner,スパーリングパートナー,SU PA - RI N GU PA - TO NA -
﻿spy,スパイ,SU PA I
﻿spiker,スパイカー,SU PA I KA -
﻿spike,スパイク,SU PA I KU
﻿spiked shoes,スパイクシューズ,SU PA I KU SI yu - ZU
﻿spike heel,スパイクヒール,SU PA I KU HI - RU
﻿spice,スパイス,SU PA I SU
﻿spider,スパイダー,SU PA I DA -
﻿spiral,スパイラル,SU PA I RA RU
﻿thank you,スパシーボ,SU PA SI - BO
﻿spot,スパット,SU PA tsu TO
﻿Spanish,スパニッシュ,SU PA NI tsu SI yu
﻿span,スパン,SU PA N
﻿span of control,スパンオブコントロール,SU PA N O BU KO N TO RO - RU
﻿spangle,スパングル,SU PA N GU RU
﻿speaker,スピーカー,SU PI - KA -
﻿speaker unit,スピーカーユニット,SU PI - KA - YU NI tsu TO
﻿speech,スピーチ,SU PI - TI
﻿speech therapy,スピーチセラピー,SU PI - TI SE RA PI -
﻿speedy,スピーディー,SU PI - DE i -
﻿speed,スピード,SU PI - DO
﻿speed up,スピードアップ,SU PI - DO A tsu PU
﻿speedway,スピードウエー,SU PI - DO U E -
﻿speed ball,スピードボール,SU PI - DO BO - RU
﻿speedometer,スピードメーター,SU PI - DO ME - TA -
﻿speed limit,スピードリミット,SU PI - DO RI MI tsu TO
﻿spear fishing,スピアフィッシング,SU PI A HU i tsu SI N GU
﻿spitball,スピットボール,SU PI tsu TO BO - RU
﻿spirits,スピリッツ,SU PI RI tsu TU
﻿spirit,スピリット,SU PI RI tsu TO
﻿spin,スピン,SU PI N
﻿spin out,スピンアウト,SU PI N A U TO
﻿spin turn,スピンターン,SU PI N TA - N
﻿Sphinx,スフィンクス,SU HU i N KU SU
﻿Sputnik,スプートニク,SU PU - TO NI KU
﻿spooler,スプーラ,SU PU - RA
﻿spool,スプール,SU PU - RU
﻿spoon,スプーン,SU PU - N
﻿splice,スプライス,SU PU RA I SU
﻿spline,スプライン,SU PU RA I N
﻿splasher,スプラッシャー,SU PU RA tsu SI ya -
﻿split,スプリット,SU PU RI tsu TO
﻿spring,スプリング,SU PU RI N GU
﻿spring camp,スプリングキャンプ,SU PU RI N GU KI ya N PU
﻿spring coat,スプリングコート,SU PU RI N GU KO - TO
﻿springboard,スプリングボード,SU PU RI N GU BO - DO
﻿sprinter,スプリンター,SU PU RI N TA -
﻿sprint,スプリント,SU PU RI N TO
﻿spray,スプレー,SU PU RE -
﻿spray gun,スプレーガン,SU PU RE - GA N
﻿spread,スプレッド,SU PU RE tsu DO
﻿spacing,スペーシング,SU PE - SI N GU
﻿space,スペース,SU PE - SU
﻿space opera,スペースオペラ,SU PE - SU O PE RA
﻿space gun,スペースガン,SU PE - SU GA N
﻿spacecraft,スペースクラフト,SU PE - SU KU RA HU TO
﻿space ship,スペースシップ,SU PE - SU SI tsu PU
﻿space shuttle,スペースシャトル,SU PE - SU SI ya TO RU
﻿space fantasy,スペースファンタジー,SU PE - SU HU a N TA ZI -
﻿spaceman,スペースマン,SU PE - SU MA N
﻿Space Lab,スペースラブ,SU PE - SU RA BU
﻿spade,スペード,SU PE - DO
﻿spare,スペア,SU PE A
﻿spare seat,スペアシート,SU PE A SI - TO
﻿spectacle,スペクタクル,SU PE KU TA KU RU
﻿spectrum,スペクトラム,SU PE KU TO RA MU
﻿special,スペシャル,SU PE SI ya RU
﻿sperm,スペルマ,SU PE RU MA
﻿spencer jacket,スペンサージャケット,SU PE N SA - ZI ya KE tsu TO
﻿spoke,スポーク,SU PO - KU
﻿spokeswoman,スポークスウーマン,SU PO - KU SU U - MA N
﻿spokesperson,スポークスパーソン,SU PO - KU SU PA - SO N
﻿spokesman,スポークスマン,SU PO - KU SU MA N
﻿sport,スポーツ,SU PO - TU
﻿sportswoman,スポーツウーマン,SU PO - TU U - MA N
﻿sportswear,スポーツウエア,SU PO - TU U E A
﻿sports car,スポーツカー,SU PO - TU KA -
﻿sports shoes,スポーツシューズ,SU PO - TU SI yu - ZU
﻿sports fair,スポーツフェアー,SU PO - TU HU e A -
﻿sportsman,スポーツマン,SU PO - TU MA N
﻿sporty,スポーティー,SU PO - TE i -
﻿spoil,スポイル,SU PO I RU
﻿spoils system,スポイルズシステム,SU PO I RU ZU SI SU TE MU
﻿spot campaign,スポットキャンペーン,SU PO tsu TO KI ya N PE - N
﻿spot commercial,スポットコマーシャル,SU PO tsu TO KO MA - SI ya RU
﻿spot check,スポットチェック,SU PO tsu TO TI e tsu KU
﻿spot news,スポットニュース,SU PO tsu TO NI yu - SU
﻿spotlight,スポットライト,SU PO tsu TO RA I TO
﻿sponsor,スポンサー,SU PO N SA -
﻿sponge,スポンジ,SU PO N ZI
﻿sponge rubber,スポンジラバー,SU PO N ZI RA BA -
﻿smart,スマート,SU MA - TO
﻿smile,スマイル,SU MA I RU
﻿smack,スマック,SU MA tsu KU
﻿smash,スマッシュ,SU MA tsu SI yu
﻿smear,スミアー,SU MI A -
﻿smoothing operation,スムージングオペレーション,SU MU - ZI N GU O PE RE - SI yo N
﻿smooth,スムーズ,SU MU - ZU
﻿smear,スメア,SU ME A
﻿smoker,スモーカー,SU MO - KA -
﻿smog,スモッグ,SU MO tsu GU
﻿slice,スライス,SU RA I SU
﻿sliding,スライディング,SU RA I DE i N GU
﻿slide,スライド,SU RA I DO
﻿slack,スラック,SU RA tsu KU
﻿slacks,スラックス,SU RA tsu KU SU
﻿slurry,スラリー,SU RA RI -
﻿slalom,スラローム,SU RA RO - MU
﻿slump,スランプ,SU RA N PU
﻿sleeve,スリーブ,SU RI - BU
﻿sleep,スリープ,SU RI - PU
﻿sleeve,スリーヴ,SU RI - VU
﻿slit,スリット,SU RI tsu TO
﻿slipper,スリッパ,SU RI tsu PA
﻿slim,スリム,SU RI MU
﻿thrill,スリル,SU RI RU
﻿through,スルー,SU RU -
﻿slate,スレート,SU RE - TO
﻿slave,スレイブ,SU RE I BU
﻿thread,スレッド,SU RE tsu DO
﻿slender,スレンダー,SU RE N DA -
﻿slow,スロー,SU RO -
﻿slogan,スローガン,SU RO - GA N
﻿slope,スロープ,SU RO - PU
﻿slot,スロット,SU RO tsu TO
﻿swapping,スワッピング,SU WA tsu PI N GU
﻿swap,スワップ,SU WA tsu PU
﻿swap meet,スワップミート,SU WA tsu PU MI - TO
﻿swan,スワン,SU WA N
﻿zoot suit,ズートスーツ,ZU - TO SU - TU
﻿zooming,ズーミング,ZU - MI N GU
﻿zoom,ズーム,ZU - MU
﻿zoom in,ズームイン,ZU - MU I N
﻿zoom lens,ズームレンズ,ZU - MU RE N ZU
﻿thud,ズシン,ZU SI N
﻿zucchini,ズッキーニ,ZU tsu KI - NI
﻿sweater,セーター,SE - TA -
﻿safe,セーフ,SE - HU
﻿save,セーブ,SE - BU
﻿sale,セール,SE - RU
﻿sales,セールス,SE - RU SU
﻿sales approach,セールスアプローチ,SE - RU SU A PU RO - TI
﻿salesman,セールスマン,SE - RU SU MA N
﻿sailer,セイラー,SE I RA -
﻿theory,セオリー,SE O RI -
﻿secondary,セカンダリー,SE KA N DA RI -
﻿second,セカンド,SE KA N DO
﻿sexy,セクシー,SE KU SI -
﻿sectioning,セクショニング,SE KU SI yo NI N GU
﻿section,セクション,SE KU SI yo N
﻿sector,セクター,SE KU TA -
﻿segmentation,セグメンテーション,SE GU ME N TE - SI yo N
﻿segment,セグメント,SE GU ME N TO
﻿season,セゾン,SE ZO N
﻿sedan,セダン,SE DA N
﻿session,セッション,SE tsu SI yo N
﻿setting,セッティング,SE tsu TE i N GU
﻿set,セット,SE tsu TO
﻿setup,セットアップ,SE tsu TO A tsu PU
﻿sepia,セピア,SE PI A
﻿semantics,セマンティクス,SE MA N TE i KU SU
﻿semantic,セマンティック,SE MA N TE i tsu KU
﻿cement,セメント,SE ME N TO
﻿sera,セラ,SE RA
﻿seller,セラー,SE RA -
﻿ceramic,セラミック,SE RA MI tsu KU
﻿serif,セリフ,SE RI HU
﻿cell,セル,SE RU
﻿Serbia,セルビア,SE RU BI A
﻿self,セルフ,SE RU HU
﻿serenade,セレナーデ,SE RE NA - DE
﻿sensor,センサー,SE N SA -
﻿centre,センター,SE N TA -
﻿Zeus,ゼウス,ZE U SU
﻿general manager,ゼネラルマネージャー,ZE NE RA RU MA NE - ZI ya -
﻿jelly,ゼリー,ZE RI -
﻿zero,ゼロ,ZE RO
﻿Xerox,ゼロックス,ZE RO tsu KU SU
﻿sewing kit,ソーイングセット,SO - I N GU SE tsu TO
﻿sortie,ソーティー,SO - TE i -
﻿sorting,ソーティング,SO - TE i N GU
﻿sort,ソート,SO - TO
﻿soap,ソープ,SO - PU
﻿soarer,ソアラ,SO A RA
﻿soul,ソウル,SO U RU
﻿socket,ソケット,SO KE tsu TO
﻿social worker,ソシアルワーカー,SO SI A RU WA - KA -
﻿socks,ソックス,SO tsu KU SU
﻿saute,ソテー,SO TE -
﻿Sony,ソニー,SO NI -
﻿sonnet,ソネット,SO NE tsu TO
﻿sofa,ソファ,SO HU a
﻿soft,ソフト,SO HU TO
﻿software,ソフトウェア,SO HU TO U e A
﻿softball,ソフトボール,SO HU TO BO - RU
﻿soprano,ソプラノ,SO PU RA NO
﻿solid,ソリッド,SO RI tsu DO
﻿Sol,ソル,SO RU
﻿song,ソング,SO N GU
﻿Soviet,ソヴィエト,SO VU i E TO
﻿zone,ゾーン,ZO - N
﻿Zoroaster,ゾロアスター,ZO RO A SU TA -
﻿zombie,ゾンビ,ZO N BI
﻿target,ターゲット,TA - GE tsu TO
﻿turban,ターバン,TA - BA N
﻿turbine,タービン,TA - BI N
﻿turbo,ターボ,TA - BO
﻿terminator,ターミネータ,TA - MI NE - TA
﻿term,ターム,TA - MU
﻿tar,タール,TA - RU
﻿turn,ターン,TA - N
﻿tie,タイ,TA I
﻿tire,タイア,TA I A
﻿tie game,タイゲーム,TA I GE - MU
﻿typist,タイピスト,TA I PI SU TO
﻿typing,タイピング,TA I PI N GU
﻿type,タイプ,TA I PU
﻿typewriter,タイプライター,TA I PU RA I TA -
﻿typography,タイポグラフィ,TA I PO GU RA HU i
﻿timer,タイマー,TA I MA -
﻿timing,タイミング,TA I MI N GU
﻿time,タイム,TA I MU
﻿timeout,タイムアウト,TA I MU A U TO
﻿times,タイムズ,TA I MU ZU
﻿time machine,タイムマシン,TA I MU MA SI N
﻿timely,タイムリー,TA I MU RI -
﻿time clock,タイムレコーダー,TA I MU RE KO - DA -
﻿tire,タイヤ,TA I YA
﻿tile,タイル,TA I RU
﻿town,タウン,TA U N
﻿tuxedo,タキシード,TA KI SI - DO
﻿taxi,タクシー,TA KU SI -
﻿tactic,タクティック,TA KU TE i tsu KU
﻿tactics,タクティックス,TA KU TE i tsu KU SU
﻿tag,タグ,TA GU
﻿tugboat,タグボート,TA GU BO - TO
﻿task,タスク,TA SU KU
﻿tack,タック,TA tsu KU
﻿tax,タックス,TA tsu KU SU
﻿touch,タッチ,TA tsu TI
﻿touchscreen,タッチスクリーン,TA tsu TI SU KU RI - N
﻿tap,タップ,TA tsu PU
﻿tap dance,タップダンス,TA tsu PU DA N SU
﻿tough,タフ,TA HU
﻿toughness,タフネス,TA HU NE SU
﻿taboo,タブー,TA BU -
﻿tablet,タブレット,TA BU RE tsu TO
﻿tabloid,タブロイド,TA BU RO I DO
﻿talc,タルク,TA RU KU
﻿tower,タワー,TA WA -
﻿tongue,タン,TA N
﻿tanker,タンカー,TA N KA -
﻿tank top,タンクトップ,TA N KU TO tsu PU
﻿tanker,タンクローリ,TA N KU RO - RI
﻿tender,タンダー,TA N DA -
﻿tampon,タンポン,TA N PO N
﻿Darwin,ダーウイン,DA - U I N
﻿dark,ダーク,DA - KU
﻿Dahl,ダール,DA - RU
﻿diagram,ダイアグラム,DA I A GU RA MU
﻿diatonic,ダイアトニック,DA I A TO NI tsu KU
﻿diary,ダイアリー,DA I A RI -
﻿dialogue,ダイアログ,DA I A RO GU
﻿diet,ダイエット,DA I E tsu TO
﻿Dijkstra,ダイクストラ,DA I KU SU TO RA
﻿digest,ダイジェスト,DA I ZI e SU TO
﻿DynaBook,ダイナブック,DA I NA BU tsu KU
﻿dynamite,ダイナマイト,DA I NA MA I TO
﻿dynamic,ダイナミック,DA I NA MI tsu KU
﻿dynamics,ダイナミックス,DA I NA MI tsu KU SU
﻿dining,ダイニング,DA I NI N GU
﻿diving,ダイビング,DA I BI N GU
﻿diamond,ダイヤモンド,DA I YA MO N DO
﻿dial,ダイヤル,DA I YA RU
﻿dial tone,ダイルトーン,DA I RU TO - N
﻿direct,ダイレクト,DA I RE KU TO
﻿direct sales,ダイレクトセールス,DA I RE KU TO SE - RU SU
﻿direct mail,ダイレクトメール,DA I RE KU TO ME - RU
﻿diving,ダイヴィング,DA I VU i N GU
﻿doubt,ダウト,DA U TO
﻿downsizing,ダウンサイジング,DA U N SA I ZI N GU
﻿downtown,ダウンタウン,DA U N TA U N
﻿download,ダウンロード,DA U N RO - DO
﻿duct,ダクト,DA KU TO
﻿dash,ダッシュ,DA tsu SI yu
﻿dubbing,ダビング,DA BI N GU
﻿double,ダブル,DA BU RU
﻿dummy,ダミー,DA MI -
﻿dam,ダム,DA MU
﻿damage,ダメージ,DA ME - ZI
﻿dancer,ダンサー,DA N SA -
﻿dance,ダンス,DA N SU
﻿dance hall,ダンスホール,DA N SU HO - RU
﻿dump,ダンプ,DA N PU
﻿cheese,チーズ,TI - ZU
﻿chief,チーフ,TI - HU
﻿cheap,チープ,TI - PU
﻿team,チーム,TI - MU
﻿teamwork,チームワーク,TI - MU WA - KU
﻿cheer,チア,TI A
﻿chain,チェーン,TI e - N
﻿chair,チェア,TI e A
﻿chairman,チェアマン,TI e A MA N
﻿chess,チェス,TI e SU
﻿chess match,チェスマッチ,TI e SU MA tsu TI
﻿Chechin,チェチェン,TI e TI e N
﻿checker,チェッカー,TI e tsu KA -
﻿checkers,チェッカーズ,TI e tsu KA - ZU
﻿check,チェック,TI e tsu KU
﻿checksum,チェックサム,TI e tsu KU SA MU
﻿checkmate,チェックメイト,TI e tsu KU ME I TO
﻿cherry,チェリー,TI e RI -
﻿Chernobyl,チェルノブイリ,TI e RU NO BU I RI
﻿cello,チェロ,TI e RO
﻿change,チェンジ,TI e N ZI
﻿changer,チェンジャー,TI e N ZI ya -
﻿chicken,チキン,TI KI N
﻿ticket,チケット,TI KE tsu TO
﻿Tibet,チベット,TI BE tsu TO
﻿church,チャーチ,TI ya - TI
﻿charming,チャーミング,TI ya - MI N GU
﻿charm,チャーム,TI ya - MU
﻿Charleston,チャールストン,TI ya - RU SU TO N
﻿China,チャイナ,TI ya I NA
﻿Chinese,チャイニーズ,TI ya I NI - ZU
﻿chime,チャイム,TI ya I MU
﻿child,チャイルド,TI ya I RU DO
﻿channel,チャネル,TI ya NE RU
﻿chapter,チャプター,TI ya PU TA -
﻿chapel,チャペル,TI ya PE RU
﻿charity,チャリティー,TI ya RI TE i -
﻿Chalmers,チャルマース,TI ya RU MA - SU
﻿chunk,チャンク,TI ya N KU
﻿chance,チャンス,TI ya N SU
﻿champion,チャンピオン,TI ya N PI O N
﻿tuning,チューニング,TI yu - NI N GU
﻿tuba,チューバ,TI yu - BA
﻿tube,チューブ,TI yu - BU
﻿tulip,チューリップ,TI yu - RI tsu PU
﻿Turing,チューリング,TI yu - RI N GU
﻿tune,チューン,TI yu - N
﻿Tunisia,チュニジア,TI yu NI ZI A
﻿choking,チョーキング,TI yo - KI N GU
﻿chalk,チョーク,TI yo - KU
﻿chocolate,チョコレート,TI yo KO RE - TO
﻿chopper,チョッパー,TI yo tsu PA -
﻿chop,チョップ,TI yo tsu PU
﻿tilde,チルダ,TI RU DA
﻿chin,チン,TI N
﻿tweed,ツイード,TU I - DO
﻿twin,ツイン,TU I N
﻿takeaway,テークアウェイ,TE - KU A U e I
﻿takeout,テークアウト,TE - KU A U TO
﻿take back,テークバック,TE - KU BA tsu KU
﻿taste,テースト,TE - SU TO
﻿taper,テーパー,TE - PA -
﻿table,テーブル,TE - BU RU
﻿table cover,テーブルカバー,TE - BU RU KA BA -
﻿tablecloth,テーブルクロス,TE - BU RU KU RO SU
﻿tablespoon,テーブルスプーン,TE - BU RU SU PU - N
﻿table manners,テーブルマナー,TE - BU RU MA NA -
﻿table wine,テーブルワイン,TE - BU RU WA I N
﻿tape,テープ,TE - PU
﻿tape deck,テープデッキ,TE - PU DE tsu KI
﻿tape hiss,テープヒス,TE - PU HI SU
﻿tape player,テーププレーヤー,TE - PU PU RE - YA -
﻿tape library,テープライブラリー,TE - PU RA I BU RA RI -
﻿tape recorder,テープレコーダー,TE - PU RE KO - DA -
﻿Theme campaign,テーマキャンペーン,TE - MA KI ya N PE - N
﻿Theme song,テーマソング,TE - MA SO N GU
﻿theme park,テーマパーク,TE - MA PA - KU
﻿Theme promotion,テーマプロモーション,TE - MA PU RO MO - SI yo N
﻿Theme music,テーマミュージック,TE - MA MI yu - ZI tsu KU
﻿tailor,テーラー,TE - RA -
﻿Taylor system,テーラーシステム,TE - RA - SI SU TE MU
﻿tailored,テーラード,TE - RA - DO
﻿tailored suit,テーラードスーツ,TE - RA - DO SU - TU
﻿tail,テール,TE - RU
﻿tailcoat,テールコート,TE - RU KO - TO
﻿tail fin,テールフィン,TE - RU HU i N
﻿tail lamp,テールランプ,TE - RU RA N PU
﻿tea,ティー,TE i -
﻿teenager,ティーンエージャー,TE i - N E - ZI ya -
﻿tissue,ティシュー,TE i SI yu -
﻿tyranny,ティラニー,TE i RA NI -
﻿timpani,ティンパニ,TE i N PA NI
﻿take,テイク,TE I KU
﻿taste,テイスト,TE I SU TO
﻿tail,テイル,TE I RU
﻿Tegafur,テガフール,TE GA HU - RU
﻿tequila,テキーラ,TE KI - RA
﻿textile,テキスタイル,TE KI SU TA I RU
﻿texture,テキスチャ,TE KI SU TI ya
﻿text,テキスト,TE KI SU TO
﻿text file,テキストファイル,TE KI SU TO HU a I RU
﻿textbook,テキストブック,TE KI SU TO BU tsu KU
﻿texture,テクスチャ,TE KU SU TI ya
﻿Tektronics,テクトロニクス,TE KU TO RO NI KU SU
﻿technical foul,テクニカルファウル,TE KU NI KA RU HU a U RU
﻿technics,テクニクス,TE KU NI KU SU
﻿technique,テクニック,TE KU NI tsu KU
﻿techno cut,テクノカット,TE KU NO KA tsu TO
﻿technocrat,テクノクラート,TE KU NO KU RA - TO
﻿technocracy,テクノクラシー,TE KU NO KU RA SI -
﻿technophobia,テクノフォビア,TE KU NO HU o BI A
﻿techno mart,テクノマート,TE KU NO MA - TO
﻿technomist,テクノミスト,TE KU NO MI SU TO
﻿tester,テスター,TE SU TA -
﻿testing,テスティング,TE SU TE i N GU
﻿test,テスト,TE SU TO
﻿test campaign,テストキャンペーン,TE SU TO KI ya N PE - N
﻿test case,テストケース,TE SU TO KE - SU
﻿test driver,テストドライバー,TE SU TO DO RA I BA -
﻿test pilot,テストパイロット,TE SU TO PA I RO tsu TO
﻿test rider,テストライダー,TE SU TO RA I DA -
﻿teddy bear,テディーベア,TE DE i - BE A
﻿tenor,テナー,TE NA -
﻿tenant,テナント,TE NA N TO
﻿tennis,テニス,TE NI SU
﻿tennis elbow,テニスエルボー,TE NI SU E RU BO -
﻿tennis court,テニスコート,TE NI SU KO - TO
﻿Tennessee,テネシー,TE NE SI -
﻿tenor,テノール,TE NO - RU
﻿Tehran,テヘラン,TE HE RA N
﻿Turing,テューリング,TE yu - RI N GU
﻿terra cotta,テラコッタ,TE RA KO tsu TA
﻿terrace,テラス,TE RA SU
﻿terrace house,テラスハウス,TE RA SU HA U SU
﻿terrazzo,テラゾー,TE RA ZO -
﻿Terramycin,テラマイシン,TE RA MA I SI N
﻿terra rossa,テラロッサ,TE RA RO tsu SA
﻿terrine,テリーヌ,TE RI - NU
﻿terrier,テリア,TE RI A
﻿terzetto,テルシェット,TE RU SI e tsu TO
﻿Telstar,テルスター,TE RU SU TA -
﻿trekking,トレッキング,TO RE tsu KI N GU
﻿telex,テレックス,TE RE tsu KU SU
﻿terror,テロ,TE RO
﻿terrorist,テロリスト,TE RO RI SU TO
﻿terrorist group,テロリストグループ,TE RO RI SU TO GU RU - PU
﻿terrorism,テロリズム,TE RO RI ZU MU
﻿tension,テンション,TE N SI yo N
﻿tense,テンス,TE N SU
﻿tensor,テンソル,TE N SO RU
﻿tenderloin,テンダーロイン,TE N DA - RO I N
﻿tenderloin steak,テンダーロインステーキ,TE N DA - RO I N SU TE - KI
﻿ten nines,テンナイン,TE N NA I N
﻿temper,テンパー,TE N PA -
﻿temperate,テンプレート,TE N PU RE - TO
﻿tempera,テンペラ,TE N PE RA
﻿tempo,テンポ,TE N PO
﻿day game,デーゲーム,DE - GE - MU
﻿daisy,デージー,DE - ZI -
﻿data,データ,DE - TA
﻿data craft,データクラフト,DE - TA KU RA HU TO
﻿datagram,データグラム,DE - TA GU RA MU
﻿data type,データタイプ,DE - TA TA I PU
﻿data flow,データフロー,DE - TA HU RO -
﻿data processor,データプロセッサー,DE - TA PU RO SE tsu SA -
﻿database,データベース,DE - TA BE - SU
﻿date,デーツ,DE - TU
﻿date,デート,DE - TO
﻿date girl,デートガール,DE - TO GA - RU
﻿date club,デートクラブ,DE - TO KU RA BU
﻿date spot,デートスポット,DE - TO SU PO tsu TO
﻿demon,デーモン,DE - MO N
﻿daylight,デーライト,DE - RA I TO
﻿daylight screen,デーライトスクリーン,DE - RA I TO SU KU RI - N
﻿daylight type,デーライトタイプ,DE - RA I TO TA I PU
﻿daily,デーリー,DE - RI -
﻿daily express,デーリーエキスプレス,DE - RI - E KI SU PU RE SU
﻿daily spread,デーリースプレッド,DE - RI - SU PU RE tsu DO
﻿day,ディ,DE i
﻿diesel,ディーゼル,DE i - ZE RU
﻿deep,ディープ,DE i - PU
﻿French kiss,ディープキス,DE i - PU KI SU
﻿daemon,ディーモン,DE i - MO N
﻿dealer,ディーラー,DE i - RA -
﻿dictionary,ディクショナリ,DE i KU SI yo NA RI
﻿decay,ディケイ,DE i KE I
﻿discount,ディスカウント,DE i SU KA U N TO
﻿discount store,ディスカウントストア,DE i SU KA U N TO SU TO A
﻿discount sale,ディスカウントセール,DE i SU KA U N TO SE - RU
﻿discover,ディスカバー,DE i SU KA BA -
﻿discoverer,ディスカバラー,DE i SU KA BA RA -
﻿disk,ディスク,DE i SU KU
﻿deschooling,ディスクーリング,DE i SU KU - RI N GU
﻿Discman,ディスクマン,DE i SU KU MA N
﻿describe,ディスクライブ,DE i SU KU RA I BU
﻿diskless,ディスクレス,DE i SU KU RE SU
﻿disclosure,ディスクロージャー,DE i SU KU RO - ZI ya -
﻿diskette,ディスケット,DE i SU KE tsu TO
﻿disco,ディスコ,DE i SU KO
﻿discography,ディスコグラフィー,DE i SU KO GU RA HU i -
﻿disturb,ディスターブ,DE i SU TA - BU
﻿distance,ディスタンス,DE i SU TA N SU
﻿destination,ディスティネーション,DE i SU TE i NE - SI yo N
